,Unnamed: 0,PID,średnia_na_rozgrywce,średnia_na_obronie,Kokosy_na_Obronie,częściówka,końcówka,szlemik,Wpadka,PID,liczba_rozdan_na_rozgrywce,liczba_rozdan_na_obronie,liczba_rozdan_Kokosy_na_Obronie,liczba_rozdan_częściówka,liczba_rozdan_końcówka,liczba_rozdan_szlemik,liczba_rozdan_Wpadka
167,167,3757,46.845,49.23693877551021,66.45571428571428,48.5055,46.1488,32.2475,30.042666666666666,03757,36,49,21,20,25,4,15
168,168,3758,46.845,49.23693877551021,66.45571428571428,48.5055,46.1488,32.2475,30.042666666666666,03758,36,49,21,20,25,4,15
169,169,3759,52.85296296296296,66.23806451612903,80.10684210526315,61.725,53.41538461538461,58.2,28.343,03759,27,31,19,14,13,2,10
170,170,3786,52.68643835616439,55.14366197183098,78.4565625,56.18166666666667,49.08512820512821,27.79,31.76448275862069,03786,73,71,32,42,39,2,29
171,171,3790,50.80054054054054,57.38054545454545,75.49891304347825,56.57739130434783,52.79466666666666,48.465,27.8865,03790,111,110,46,69,60,6,40
172,172,3800,50.877378048780486,53.34262068965518,73.03679245283018,59.02103896103896,53.5966,49.32416666666666,25.54402985074627,03800,164,145,53,77,100,12,67
173,173,3814,45.29882352941176,39.535,63.52,50.889,46.266666666666666,29.55,23.231428571428573,03814,17,12,2,10,9,1,7
174,174,3855,53.11605263157895,55.05564516129032,77.61066666666667,52.88840909090909,52.579756097560974,63.88199999999999,17.76,03855,76,62,30,44,41,5,18
175,175,3858,46.686800000000005,51.50620689655173,77.726,40.46133333333333,45.95227272727273,87.85,29.645,03858,25,29,10,15,22,1,6
176,176,3908,41.616470588235295,41.21083333333333,89.155,42.71666666666667,52.06888888888889,28.55,16.21857142857143,03908,17,12,2,9,9,2,7
177,177,3923,52.67506493506494,48.11305882352941,66.85896551724139,49.40543859649123,50.2715,64.815,35.0140625,03923,77,85,29,57,40,4,32
178,178,3966,49.74045454545455,43.592,66.40945945945946,47.38777777777778,43.109605263157896,32.13666666666666,32.012068965517244,03966,110,110,37,72,76,6,29
179,179,4013,50.86,46.32156424581005,69.9148275862069,50.30088235294117,46.22278260869565,51.07384615384615,27.526140350877192,04013,166,179,58,102,115,13,57
180,180,4017,48.36114754098361,52.023555555555554,70.97227272727274,49.2772,54.638125,3.78,28.675769230769237,04017,61,45,22,25,32,1,26
181,181,4021,42.991640625,44.49268817204301,77.80952380952381,52.60672131147541,46.170857142857145,30.111666666666668,21.98587301587301,04021,128,93,21,61,70,6,63
182,182,4025,43.03673469387756,45.99835820895522,78.86214285714286,53.934666666666665,48.09203703703703,34.6,21.242340425531918,04025,98,67,14,45,54,5,47
183,183,4026,52.91785714285714,47.57545454545455,69.91260869565217,54.59439999999999,48.043055555555554,52.258,23.44,04026,70,66,23,50,36,5,22
184,184,4030,48.36114754098361,52.023555555555554,70.97227272727274,49.2772,54.638125,3.78,28.675769230769237,04030,61,45,22,25,32,1,26
185,185,4064,53.99141304347826,55.83881818181818,77.45866666666666,53.08936507936508,52.27016949152542,42.79,31.16,04064,92,110,45,63,59,9,26
186,186,4066,51.336171875,55.410372670807455,77.36058823529413,50.42161290322581,49.02109756097561,47.201,29.184166666666663,04066,128,161,68,93,82,10,36
187,187,4133,45.41212121212121,49.97285714285714,72.23192307692308,47.65652173913043,46.962098765432096,43.645,25.67411764705882,04133,132,154,52,92,81,10,51
188,188,4136,37.547435897435896,49.10309523809524,78.42153846153846,41.31625,47.04096774193548,48.305,15.329473684210528,04136,39,42,13,16,31,2,19
189,189,4146,55.82236842105263,53.85295454545455,77.56052631578947,47.97347826086957,54.36296296296296,39.94,33.833333333333336,04146,38,44,19,23,27,1,12
190,190,4152,53.31840579710145,43.56923913043478,67.0878787878788,41.191,47.8162,42.665,35.5175,04152,69,92,33,50,50,4,24
191,191,4153,63.66059701492538,61.90301369863014,81.43483870967742,57.33565217391305,60.96048780487805,56.128,49.54352941176471,04153,67,73,31,46,41,5,17
192,192,4171,40.11092592592593,54.24076923076923,77.89782608695653,47.55096774193548,41.817083333333336,47.585,21.95125,04171,54,52,23,31,24,4,24
193,193,4183,44.9151,47.9814606741573,74.99241379310345,48.16166666666666,49.42272727272727,46.406666666666666,23.73770833333333,04183,100,89,29,48,55,9,48
194,194,4189,43.762166666666666,47.16105263157895,68.38714285714285,49.56514285714286,44.47113636363636,27.76,19.7032,04189,60,76,28,35,44,4,25
195,195,4235,43.762166666666666,47.16105263157895,68.38714285714285,49.56514285714286,44.47113636363636,27.76,19.7032,04235,60,76,28,35,44,4,25
196,196,4248,48.71285714285714,59.99369230769231,72.659,53.72702702702703,51.44064516129033,92.92,28.75133333333333,04248,49,65,30,37,31,1,15
197,197,4250,56.7935632183908,57.0595890410959,78.76161290322581,56.3946875,55.29076086956522,65.83923076923077,34.61421052631579,04250,174,146,62,96,92,13,57
198,198,4265,59.913783783783785,59.209848484848486,76.94941176470587,61.59678571428572,59.880961538461534,93.675,29.138333333333332,04265,74,66,34,28,52,2,24
199,199,4267,51.33904761904761,52.64476744186047,75.05,49.24957446808511,54.077,34.42333333333333,32.39944444444444,04267,84,86,34,47,50,3,36
200,200,4281,40.11092592592593,54.24076923076923,77.89782608695653,47.55096774193548,41.817083333333336,47.585,21.95125,04281,54,52,23,31,24,4,24
201,201,4299,46.92666666666667,44.77275862068966,66.12363636363636,36.75928571428572,53.3975,48.85666666666666,20.192222222222224,04299,24,29,11,14,16,3,9
202,202,4304,47.98346153846154,48.76397660818713,71.73138461538461,48.40550458715596,48.79560000000001,54.16181818181818,24.375735294117646,04304,182,171,65,109,100,11,68
203,203,4317,40.40147540983607,47.15260869565218,72.19125,39.71324324324325,49.672222222222224,41.43,20.805806451612906,04317,61,69,24,37,36,2,31
204,204,4325,46.27822222222222,44.93114285714285,62.26416666666666,44.305,51.75275862068965,58.225,24.491052631578945,04325,45,35,12,16,29,4,19
205,205,4358,50.20445783132531,51.720978260869565,72.43025641025642,45.0592,51.30634615384615,47.615,31.926428571428573,04358,83,92,39,50,52,6,28
206,206,4381,53.71818181818182,46.69055555555556,65.87083333333334,49.35466666666667,46.80052631578948,50.120000000000005,34.244,04381,22,36,12,15,19,2,10
207,207,4400,55.9103125,46.1895,72.45714285714286,53.3525,57.26954545454546,89.62,26.133076923076924,04400,32,20,7,8,22,2,13
208,208,4438,50.79333333333333,44.15764227642277,70.39046511627907,42.84685714285714,44.571304347826086,38.48333333333333,31.456774193548387,04438,96,123,43,70,69,6,31
209,209,4441,52.869017094017096,52.54288537549407,73.91573033707866,52.63907284768212,49.711554054054055,72.41166666666668,30.58,04441,234,253,89,151,148,18,81
210,210,4455,45.35727272727273,47.3,67.43666666666667,41.604375,46.121538461538464,60.56666666666666,16.395555555555557,04455,22,34,15,16,13,3,9
211,211,4456,47.45747474747475,49.16809782608696,70.49472972972973,50.01657894736842,48.00926605504587,54.870000000000005,22.81662162162162,04456,198,184,74,114,109,11,74
212,212,4480,51.3,51.4016049382716,74.50833333333334,56.35041666666667,58.70274193548387,45.870000000000005,23.720408163265304,04480,115,81,30,48,62,7,49
213,213,4499,50.056714285714285,50.68437810945274,74.334,52.91245098039215,48.47022556390977,41.17133333333334,28.29098765432099,04499,210,201,80,102,133,15,81
