,0,1,2,3,4,5,6,7,8
0,lokata,PID,imię i nazwisko,WZBS,WK,TK,PKL,liga,klub / drużyna
1,151.,04696,Antoni Sękowski,PM,18,AM,28 185,3,OSiR Activa PL Juszkowo
2,152.,05695,Andrzej Lućko,SW,18,AM,27 777,-,Świętokrzyski Klub Brydżowy w Kielcach
3,153.,03847,Jarosław Michałowski,KP,18,AM,27 269,-,
4,154.,04547,Andrzej Bunikowski,PM,18,AM,27 100,2,Darles Santerm Gdańsk
5,155.,02977,Mirosław Rafalski,SW,18,AM,26 549,E,Dr SMILE Starachowice
6,156.,02166,Jarosław Wachnowski,LB,18,AM,25 582,3,Spójnia Ośno lubuskie
7,157.,05568,Zdzisław Beling,LD,18,AM,25 416,1,Inwit Pabianice
8,158.,04563,Ireneusz Dzikowski,PM,18,AM,23 890,1,GTB ANDRZEJKI Gdańsk
9,159.,06876,Janusz Radecki,MA,18,AM,23 803,-,Singleton Warszawa
10,160.,02912,Jacek Janowski,SW,18,AM,23 703,-,
11,161.,06648,Piotr Jurek,LU,18,AM,23 293,E,SYNERGIA ILANKA
12,162.,03523,Jan Sucharkiewicz,WP,18,AM,22 582,1,UKB KLEKS Szamotuły
13,163.,04431,Zbigniew Rogowski,WM,18,AM,21 414,E,ŁĄCZNOŚĆ Olsztyn
14,164.,02894,Krzysztof Czul,PK,18,AM,21 312,1,Skobud Joker Tarnobrzeg
15,165.,06336,Piotr Lutostański,MA,18,AM,21 215,E,Fundacja Bridge24.pl
16,166.,04643,Bogdan Małysz,PM,18,AM,20 585,3,ANDRZEJKI BIS Gdańsk
17,167.,02933,Piotr Kucharski,SW,18,AM,19 537,E,Dr SMILE Starachowice
18,168.,04802,Cezary Krzemiński,WM,18,AM,18 903,E,VITAS ESBS Elblag
19,169.,02121,Ryszard Sakowicz,LU,18,AM,18 744,E,SYNERGIA ILANKA
20,170.,03992,Roman Wachowiak,KP,18,AM,18 514,2,TKB PAAK CHEMIK Bydgoszcz
21,171.,06797,Andrzej Miszewski,MA,18,AM,18 117,-,
22,172.,04110,Jakub Kotorowicz,LU,18,AM,17 781,E,SYNERGIA ILANKA
23,173.,04823,Małgorzata Sawicka,KP,18,AM,17 190,-,Singleton KPZBS
24,174.,07891,Piotr Klimacki,ZP,18,AM,16 801,1,AD Szczecin
25,175.,06879,Adam Ratyński,WP,18,AM,14 065,-,
26,176.,06274,Ryszard Kiełczewski,SL,18,AM,13 354,-,SINGLETON ŚLĄSK Katowice
27,177.,02959,Sławomir Olech,SW,18,AM,13 163,-,
28,178.,05504,Andrzej Witkowski,WP,18,AM,12 876,-,
29,179.,04788,Ireneusz Jarosz,WP,18,AM,11 559,1,KS KM IMPORT JAGIELLONKA PIŁA
30,180.,02876,Wojciech Arczewski,MA,18,AM,10 726,-,
31,181.,07796,Marek Jeleniewski,SW,18,AM,10 689,-,
32,182.,05749,Stanisław Owczarek,LD,18,AM,9 765,-,
33,183.,01516,Karol Mykietyn,DS,18,AM,8 650,E,GOLDBECK COMFORT SA AZS Wratislavia IV
